detection,lab_id,latitude,longitude,nuclide_id,salinity,sampdepth,samplabcode,station,temperatur,begperiod,uncertaint,unit_id,activity,samptype_id
=,345,78.83317,-0.003666667,28,34.9311,395.8,1,47,1.7576,2020-08-27,1.3419825e+08,9,1.7025338e+09,1
=,345,78.83317,-0.003666667,28,34.9311,395.8,1,47,1.7576,2020-08-27,1.375192e+08,12,1.7446657e+09,1
=,345,78.83317,-0.003666667,108,34.9311,395.8,1,47,1.7576,2020-08-27,1.0875681e+06,9,1.3177053e+07,1
=,345,78.83317,-0.003666667,108,34.9311,395.8,1,47,1.7576,2020-08-27,1.12e+06,12,1.357e+07,1
=,345,78.83317,-0.003666667,64,34.9311,395.8,1,47,1.7576,2020-08-27,3.79467e+14,9,8.474763e+15,1
=,345,78.83317,-0.003666667,28,34.9247,198.3,2,47,2.4914,2020-08-27,1.549447e+08,9,1.9666042e+09,1
=,345,78.83317,-0.003666667,28,34.9247,198.3,2,47,2.4914,2020-08-27,1.5877803e+08,12,2.0152577e+09,1
=,345,78.83317,-0.003666667,108,34.9247,198.3,2,47,2.4914,2020-08-27,456836.8,9,1.2169355e+07,1
=,345,78.83317,-0.003666667,108,34.9247,198.3,2,47,2.4914,2020-08-27,470000.0,12,1.252e+07,1
=,345,78.83317,-0.003666667,64,34.9247,198.3,2,47,2.4914,2020-08-27,1.517868e+14,9,7.8676156e+15,1
=,345,78.83317,-0.003666667,28,34.9469,148.9,3,47,2.9641,2020-08-27,1.6465034e+08,9,2.0904128e+09,1
=,345,78.83317,-0.003666667,28,34.9469,148.9,3,47,2.9641,2020-08-27,1.6872563e+08,12,2.1421531e+09,1
=,345,78.83317,-0.003666667,108,34.9469,148.9,3,47,2.9641,2020-08-27,1.1861272e+06,9,1.1579324e+07,1
=,345,78.83317,-0.003666667,108,34.9469,148.9,3,47,2.9641,2020-08-27,1.22e+06,12,1.191e+07,1
=,345,78.83317,-0.003666667,64,34.9469,148.9,3,47,2.9641,2020-08-27,3.541692e+14,9,7.8170203e+15,1
=,345,78.83317,-0.003666667,28,34.9915,99.6,4,47,4.0705,2020-08-27,1.8311168e+08,9,2.327136e+09,1
=,345,78.83317,-0.003666667,28,34.9915,99.6,4,47,4.0705,2020-08-27,1.876378e+08,12,2.3846574e+09,1
=,345,78.83317,-0.003666667,108,34.9915,99.6,4,47,4.0705,2020-08-27,602950.3,9,1.3381607e+07,1
=,345,78.83317,-0.003666667,108,34.9915,99.6,4,47,4.0705,2020-08-27,620000.0,12,1.376e+07,1
=,345,78.83317,-0.003666667,64,34.9915,99.6,4,47,4.0705,2020-08-27,2.782758e+14,9,7.9182114e+15,1
=,345,78.83317,-0.003666667,28,34.9148,74.1,5,47,4.1901,2020-08-27,2.0849483e+08,9,2.634892e+09,1
=,345,78.83317,-0.003666667,28,34.9148,74.1,5,47,4.1901,2020-08-27,2.1365038e+08,12,2.7000466e+09,1
=,345,78.83317,-0.003666667,108,34.9148,74.1,5,47,4.1901,2020-08-27,476614.5,9,1.3909362e+07,1
=,345,78.83317,-0.003666667,108,34.9148,74.1,5,47,4.1901,2020-08-27,490000.0,12,1.43e+07,1
=,345,78.83317,-0.003666667,64,34.9148,74.1,5,47,4.1901,2020-08-27,2.023824e+14,9,7.842318e+15,1
=,345,78.83317,-0.003666667,28,34.2432,50.1,6,47,-0.3385,2020-08-27,3.09525e+08,9,3.9317059e+09,1
=,345,78.83317,-0.003666667,28,34.2432,50.1,6,47,-0.3385,2020-08-27,3.1701197e+08,12,4.0268086e+09,1
=,345,78.83317,-0.003666667,108,34.2432,50.1,6,47,-0.3385,2020-08-27,1.3621716e+06,9,1.6239032e+07,1
=,345,78.83317,-0.003666667,108,34.2432,50.1,6,47,-0.3385,2020-08-27,1.4e+06,12,1.669e+07,1
=,345,78.83317,-0.003666667,64,34.2432,50.1,6,47,-0.3385,2020-08-27,6.32445e+14,9,7.7664245e+15,1
=,345,78.83317,-0.003666667,28,33.7958,24.5,7,47,0.056,2020-08-27,3.2440973e+08,9,4.1213033e+09,1
=,345,78.83317,-0.003666667,28,33.7958,24.5,7,47,0.056,2020-08-27,3.3215907e+08,12,4.2197512e+09,1
=,345,78.83317,-0.003666667,108,33.7958,24.5,7,47,0.056,2020-08-27,934593.06,9,1.723156e+07,1
=,345,78.83317,-0.003666667,108,33.7958,24.5,7,47,0.056,2020-08-27,960000.0,12,1.77e+07,1
=,345,78.83317,-0.003666667,64,33.7958,24.5,7,47,0.056,2020-08-27,3.035736e+14,9,7.7664245e+15,1
=,345,78.83317,-0.003666667,28,33.0243,4.9,8,47,0.8306,2020-08-27,3.3656698e+08,9,4.27612e+09,1
=,345,78.83317,-0.003666667,28,33.0243,4.9,8,47,0.8306,2020-08-27,3.444422e+08,12,4.3761756e+09,1
=,345,78.83317,-0.003666667,108,33.0243,4.9,8,47,0.8306,2020-08-27,2.035909e+06,9,1.6569767e+07,1
=,345,78.83317,-0.003666667,108,33.0243,4.9,8,47,0.8306,2020-08-27,2.09e+06,12,1.701e+07,1
=,345,78.83317,-0.003666667,64,33.0243,4.9,8,47,0.8306,2020-08-27,3.288714e+14,9,7.5640425e+15,1
=,345,78.833336,-1.0001667,28,34.9166,2506.3,9,49,-0.7197,2020-08-28,1.5743152e+07,9,1.4743434e+08,1
=,345,78.833336,-1.0001667,28,34.9166,2506.3,9,49,-0.7197,2020-08-28,1.6134113e+07,12,1.5109568e+08,1
=,345,78.833336,-1.0001667,108,34.9166,2506.3,9,49,-0.7197,2020-08-28,384636.2,9,4.548323e+06,1
=,345,78.833336,-1.0001667,108,34.9166,2506.3,9,49,-0.7197,2020-08-28,400000.0,12,4.73e+06,1
=,345,78.833336,-1.0001667,64,34.9166,2506.3,9,49,-0.7197,2020-08-28,6.071472e+14,9,7.9182114e+15,1
=,345,78.833336,-1.0001667,28,34.8903,396.2,10,49,1.4451,2020-08-28,1.4283731e+08,9,1.7941448e+09,1
=,345,78.833336,-1.0001667,28,34.8903,396.2,10,49,1.4451,2020-08-28,1.4636602e+08,12,1.838468e+09,1
=,345,78.833336,-1.0001667,108,34.8903,396.2,10,49,1.4451,2020-08-28,980759.9,9,1.4070505e+07,1
=,345,78.833336,-1.0001667,108,34.8903,396.2,10,49,1.4451,2020-08-28,1.01e+06,12,1.449e+07,1
=,345,78.833336,-1.0001667,64,34.8903,396.2,10,49,1.4451,2020-08-28,4.047648e+14,9,7.7411266e+15,1
=,345,78.833336,-1.0001667,28,34.9937,198.0,11,49,3.1287,2020-08-28,1.3897408e+08,9,1.6056338e+09,1
=,345,78.833336,-1.0001667,28,34.9937,198.0,11,49,3.1287,2020-08-28,1.4241797e+08,12,1.6454228e+09,1
=,345,78.833336,-1.0001667,108,34.9937,198.0,11,49,3.1287,2020-08-28,699842.6,9,1.1518243e+07,1
=,345,78.833336,-1.0001667,108,34.9937,198.0,11,49,3.1287,2020-08-28,720000.0,12,1.185e+07,1
=,345,78.833336,-1.0001667,64,34.9937,198.0,11,49,3.1287,2020-08-28,2.782758e+14,9,7.943509e+15,1
=,345,78.833336,-1.0001667,28,34.9991,148.4,12,49,3.3689,2020-08-28,1.4808758e+08,9,1.8665971e+09,1
=,345,78.833336,-1.0001667,28,34.9991,148.4,12,49,3.3689,2020-08-28,1.5175557e+08,12,1.9128308e+09,1
=,345,78.833336,-1.0001667,108,34.9991,148.4,12,49,3.3689,2020-08-28,952806.44,9,1.1248949e+07,1
=,345,78.833336,-1.0001667,108,34.9991,148.4,12,49,3.3689,2020-08-28,980000.0,12,1.157e+07,1
=,345,78.833336,-1.0001667,64,34.9991,148.4,12,49,3.3689,2020-08-28,3.035736e+14,9,8.0194024e+15,1
=,345,78.833336,-1.0001667,28,34.9769,99.3,13,49,3.9754,2020-08-28,1.771978e+08,9,2.2377147e+09,1
=,345,78.833336,-1.0001667,28,34.9769,99.3,13,49,3.9754,2020-08-28,1.8158462e+08,12,2.293113e+09,1
=,345,78.833336,-1.0001667,108,34.9769,99.3,13,49,3.9754,2020-08-28,583522.8,9,1.1184187e+07,1
=,345,78.833336,-1.0001667,108,34.9769,99.3,13,49,3.9754,2020-08-28,600000.0,12,1.15e+07,1
=,345,78.833336,-1.0001667,64,34.9769,99.3,13,49,3.9754,2020-08-28,3.79467e+14,9,7.994105e+15,1
=,345,78.833336,-1.0001667,28,34.9931,74.3,14,49,4.5045,2020-08-28,2.1800038e+08,9,2.7650573e+09,1
=,345,78.833336,-1.0001667,28,34.9931,74.3,14,49,4.5045,2020-08-28,2.2339608e+08,12,2.8334948e+09,1
=,345,78.833336,-1.0001667,108,34.9931,74.3,14,49,4.5045,2020-08-28,2.2274678e+06,9,1.1565324e+07,1
=,345,78.833336,-1.0001667,108,34.9931,74.3,14,49,4.5045,2020-08-28,2.29e+06,12,1.189e+07,1
=,345,78.833336,-1.0001667,64,34.9931,74.3,14,49,4.5045,2020-08-28,3.035736e+14,9,8.0194024e+15,1
=,345,78.833336,-1.0001667,28,34.5783,50.1,15,49,2.2947,2020-08-28,3.0535206e+08,9,3.8894272e+09,1
=,345,78.833336,-1.0001667,28,34.5783,50.1,15,49,2.2947,2020-08-28,3.128921e+08,12,3.9854684e+09,1
=,345,78.833336,-1.0001667,108,34.5783,50.1,15,49,2.2947,2020-08-28,1.0896562e+06,9,1.364989e+07,1
=,345,78.833336,-1.0001667,108,34.5783,50.1,15,49,2.2947,2020-08-28,1.12e+06,12,1.403e+07,1
=,345,78.833336,-1.0001667,64,34.5783,50.1,15,49,2.2947,2020-08-28,2.52978e+14,9,7.9182114e+15,1
=,345,78.833336,-1.0001667,28,34.4592,24.9,16,49,5.3368,2020-08-28,2.881383e+08,9,3.669954e+09,1
=,345,78.833336,-1.0001667,28,34.4592,24.9,16,49,5.3368,2020-08-28,2.952313e+08,12,3.760296e+09,1
=,345,78.833336,-1.0001667,108,34.4592,24.9,16,49,5.3368,2020-08-28,1.314029e+06,9,1.4035777e+07,1
=,345,78.833336,-1.0001667,108,34.4592,24.9,16,49,5.3368,2020-08-28,1.35e+06,12,1.442e+07,1
=,345,78.833336,-1.0001667,64,34.4592,24.9,16,49,5.3368,2020-08-28,6.071472e+14,9,7.715829e+15,1
=,345,78.833336,-1.9995,28,34.8783,395.9,18,51,1.2764,2020-08-28,1.500758e+08,9,1.8981137e+09,1
=,345,78.833336,-1.9995,28,34.8783,395.9,18,51,1.2764,2020-08-28,1.5378194e+08,12,1.9449876e+09,1
=,345,78.833336,-1.9995,108,34.8783,395.9,18,51,1.2764,2020-08-28,1.505121e+06,9,1.4575397e+07,1
=,345,78.833336,-1.9995,108,34.8783,395.9,18,51,1.2764,2020-08-28,1.55e+06,12,1.501e+07,1
=,345,78.833336,-1.9995,64,34.8783,395.9,18,51,1.2764,2020-08-28,4.047648e+14,9,8.500061e+15,1
=,345,78.833336,-1.9995,28,34.9438,198.0,19,51,2.7144,2020-08-28,1.6623499e+08,9,2.0982927e+09,1
=,345,78.833336,-1.9995,28,34.9438,198.0,19,51,2.7144,2020-08-28,1.703464e+08,12,2.1501885e+09,1
=,345,78.833336,-1.9995,108,34.9438,198.0,19,51,2.7144,2020-08-28,554043.2,9,1.1284984e+07,1
=,345,78.833336,-1.9995,108,34.9438,198.0,19,51,2.7144,2020-08-28,570000.0,12,1.161e+07,1
=,345,78.833336,-1.9995,64,34.9438,198.0,19,51,2.7144,2020-08-28,2.276802e+14,9,7.943509e+15,1
=,345,78.833336,-1.9995,28,34.9559,148.8,20,51,3.1226,2020-08-28,1.7602502e+08,9,2.229836e+09,1
=,345,78.833336,-1.9995,28,34.9559,148.8,20,51,3.1226,2020-08-28,1.8037795e+08,12,2.2849777e+09,1
=,345,78.833336,-1.9995,108,34.9559,148.8,20,51,3.1226,2020-08-28,1.03058394e+06,9,1.1258643e+07,1
=,345,78.833336,-1.9995,108,34.9559,148.8,20,51,3.1226,2020-08-28,1.06e+06,12,1.158e+07,1
=,345,78.833336,-1.9995,64,34.9559,148.8,20,51,3.1226,2020-08-28,6.071472e+14,9,7.9182114e+15,1
=,345,78.833336,-1.9995,28,34.9059,99.5,21,51,3.1449,2020-08-28,1.9073696e+08,9,2.408728e+09,1
=,345,78.833336,-1.9995,28,34.9059,99.5,21,51,3.1449,2020-08-28,1.9544242e+08,12,2.468151e+09,1
=,345,78.833336,-1.9995,108,34.9059,99.5,21,51,3.1449,2020-08-28,1.4101561e+06,9,1.3304094e+07,1
=,345,78.833336,-1.9995,108,34.9059,99.5,21,51,3.1449,2020-08-28,1.45e+06,12,1.368e+07,1
=,345,78.833336,-1.9995,64,34.9059,99.5,21,51,3.1449,2020-08-28,4.047648e+14,9,7.943509e+15,1
=,345,78.833336,-1.9995,28,34.4837,74.7,22,51,0.5989,2020-08-28,2.3638242e+08,9,2.9899103e+09,1
=,345,78.833336,-1.9995,28,34.4837,74.7,22,51,0.5989,2020-08-28,2.4215155e+08,12,3.062882e+09,1
=,345,78.833336,-1.9995,108,34.4837,74.7,22,51,0.5989,2020-08-28,1.3812504e+06,9,2.0349124e+07,1
=,345,78.833336,-1.9995,108,34.4837,74.7,22,51,0.5989,2020-08-28,1.42e+06,12,2.092e+07,1
=,345,78.833336,-1.9995,64,34.4837,74.7,22,51,0.5989,2020-08-28,3.288714e+14,9,7.7664245e+15,1
=,345,78.833336,-1.9995,28,34.21,49.3,23,51,-0.2088,2020-08-28,3.0117392e+08,9,3.8245732e+09,1
=,345,78.833336,-1.9995,28,34.21,49.3,23,51,-0.2088,2020-08-28,3.0845306e+08,12,3.91701e+09,1
=,345,78.833336,-1.9995,108,34.21,49.3,23,51,-0.2088,2020-08-28,973021.5,9,1.8915538e+07,1
=,345,78.833336,-1.9995,108,34.21,49.3,23,51,-0.2088,2020-08-28,1e+06,12,1.944e+07,1
=,345,78.833336,-1.9995,64,34.21,49.3,23,51,-0.2088,2020-08-28,1.517868e+14,9,7.6905314e+15,1
=,345,78.833336,-1.9995,28,34.135,24.9,24,51,3.3519,2020-08-28,3.3668147e+08,9,4.2895363e+09,1
=,345,78.833336,-1.9995,28,34.135,24.9,24,51,3.3519,2020-08-28,3.448051e+08,12,4.3930363e+09,1
=,345,78.833336,-1.9995,108,34.135,24.9,24,51,3.3519,2020-08-28,798083.3,9,1.6448302e+07,1
=,345,78.833336,-1.9995,108,34.135,24.9,24,51,3.3519,2020-08-28,820000.0,12,1.69e+07,1
=,345,78.833336,-1.9995,64,34.135,24.9,24,51,3.3519,2020-08-28,1.517868e+14,9,7.6652335e+15,1
=,345,78.833336,-1.9995,28,33.6572,4.2,25,51,3.8641,2020-08-28,3.1482358e+08,9,4.010615e+09,1
=,345,78.833336,-1.9995,28,33.6572,4.2,25,51,3.8641,2020-08-28,3.224272e+08,12,4.1074796e+09,1
=,345,78.833336,-1.9995,108,33.6572,4.2,25,51,3.8641,2020-08-28,837241.0,9,1.3872888e+07,1
=,345,78.833336,-1.9995,108,33.6572,4.2,25,51,3.8641,2020-08-28,860000.0,12,1.425e+07,1
=,345,78.833336,-1.9995,64,33.6572,4.2,25,51,3.8641,2020-08-28,4.300626e+14,9,7.8170203e+15,1
=,345,78.83217,-3.0051668,28,34.9423,395.7,26,54,1.937,2020-08-28,1.4017926e+08,9,1.7658294e+09,1
=,345,78.83217,-3.0051668,28,34.9423,395.7,26,54,1.937,2020-08-28,1.4364683e+08,12,1.8095101e+09,1
