sample_id,area_id,areaname,samptype_id,samptype,ref_id,displaytext,zoterourl,ref_note,datbase,lab_id,lab,latitude,longitude,begperiod,endperiod,samplingyear,totdepth,sampdepth,station,samplabcode,species_id,taxonname,taxonrank,biogroup,taxondb,taxondbid,taxondburl,taxonrepname,bodypar_id,bodypar,sliceup,slicedown,sedtype_id,sedtype,sedrepname,nuclide_id,nusymbol,volume,salinity,temperatur,filtered,filtpore,samparea,drywt,wetwt,percentwt,sampmet_id,sampmet,prepmet_id,prepmet,drymet_id,drymet,counmet_id,counmet,decayedto,detection,activity,uncertaint,unit_id,unit,vartype,freq,rangelow,rangeupp,profile,transect_id,measure_note,shapetype_id,profile_id,sampnote,ref_fulltext,ref_yearpub,ref_sampleTypes,LongLat,displaycoordinates,DisplayLong,DisplayLat,id
2010,1912,North Atlantic Ocean,1,Seawater,31,"Aarkrog et al., 1992",https://www.zotero.org/groups/2432820/maris/items/CRYJ794W,Table 4.3,,70,Harvard University - Harvard University Center for the Environment,65.6833333333333,-24.3833333333333,1988-09-07 00:00:00.000,,1988,,5.0,,,0,(Not available),,(Not available),,,,,0,(Not available),,,0,(Not available),,12,90Sr,,34.6,,,,,,,,0,Not available,0,Not available,0,Not available,8,Beta,,=,1.58,,1,Bq/m3,,,,,0.0,,,1,,,"Aarkrog, A., Buch, E., Chen, Q.J., Christensen, G.C., Dahlgaard, H., Hansen, H., Holm, E., Nielsen, S.P., 1992. Environmental radioactivity in the North Atlantic Region including the Faroe Islands and Greenland. 1988 and 1989 (No. Risø-R-571).",1992,1,"-24.383,65.683",0xE6100000010CD656EC2FBB6B50408A8EE4F21F6238C0,-24.3833333333333,65.6833333333333,461829
2045,1912,North Atlantic Ocean,1,Seawater,31,"Aarkrog et al., 1992",https://www.zotero.org/groups/2432820/maris/items/CRYJ794W,Table 4.3,,70,Harvard University - Harvard University Center for the Environment,65.6833333333333,-24.3833333333333,1988-09-07 00:00:00.000,,1988,,5.0,,,0,(Not available),,(Not available),,,,,0,(Not available),,,0,(Not available),,15,99Tc,,34.6,,,,,,,,0,Not available,0,Not available,0,Not available,8,Beta,,=,0.011,,1,Bq/m3,,,,,0.0,,,1,,,"Aarkrog, A., Buch, E., Chen, Q.J., Christensen, G.C., Dahlgaard, H., Hansen, H., Holm, E., Nielsen, S.P., 1992. Environmental radioactivity in the North Atlantic Region including the Faroe Islands and Greenland. 1988 and 1989 (No. Risø-R-571).",1992,1,"-24.383,65.683",0xE6100000010CD656EC2FBB6B50408A8EE4F21F6238C0,-24.3833333333333,65.6833333333333,461830
2111,1912,North Atlantic Ocean,1,Seawater,31,"Aarkrog et al., 1992",https://www.zotero.org/groups/2432820/maris/items/CRYJ794W,Table 4.3,,70,Harvard University - Harvard University Center for the Environment,65.6833333333333,-24.3833333333333,1988-09-07 00:00:00.000,,1988,,5.0,,,0,(Not available),,(Not available),,,,,0,(Not available),,,0,(Not available),,33,137Cs,,34.6,,,,,,,,0,Not available,0,Not available,0,Not available,18,Gamma,,=,2.8,,1,Bq/m3,,,,,0.0,,,1,,,"Aarkrog, A., Buch, E., Chen, Q.J., Christensen, G.C., Dahlgaard, H., Hansen, H., Holm, E., Nielsen, S.P., 1992. Environmental radioactivity in the North Atlantic Region including the Faroe Islands and Greenland. 1988 and 1989 (No. Risø-R-571).",1992,1,"-24.383,65.683",0xE6100000010CD656EC2FBB6B50408A8EE4F21F6238C0,-24.3833333333333,65.6833333333333,461831
2026,2356,Greenland Sea,1,Seawater,31,"Aarkrog et al., 1992",https://www.zotero.org/groups/2432820/maris/items/CRYJ794W,Table 4.3,,70,Harvard University - Harvard University Center for the Environment,70.9833333333333,-18.8,1988-09-13 00:00:00.000,,1988,,750.0,,,0,(Not available),,(Not available),,,,,0,(Not available),,,0,(Not available),,12,90Sr,,34.9,0.3,,,,,,,0,Not available,0,Not available,0,Not available,8,Beta,,=,1.85,,1,Bq/m3,,,,,0.0,,,1,,,"Aarkrog, A., Buch, E., Chen, Q.J., Christensen, G.C., Dahlgaard, H., Hansen, H., Holm, E., Nielsen, S.P., 1992. Environmental radioactivity in the North Atlantic Region including the Faroe Islands and Greenland. 1988 and 1989 (No. Risø-R-571).",1992,1,"-18.8,70.983",0xE6100000010C098A1F63EEBE5140CDCCCCCCCCCC32C0,-18.8,70.9833333333333,521686
2032,2356,Greenland Sea,1,Seawater,31,"Aarkrog et al., 1992",https://www.zotero.org/groups/2432820/maris/items/CRYJ794W,Table 4.3,,70,Harvard University - Harvard University Center for the Environment,70.9833333333333,-19.4333333333333,1988-09-15 00:00:00.000,,1988,,80.0,,,0,(Not available),,(Not available),,,,,0,(Not available),,,0,(Not available),,12,90Sr,,34.2,1.5,,,,,,,0,Not available,0,Not available,0,Not available,8,Beta,,=,3.1,,1,Bq/m3,,,,,0.0,,,1,,,"Aarkrog, A., Buch, E., Chen, Q.J., Christensen, G.C., Dahlgaard, H., Hansen, H., Holm, E., Nielsen, S.P., 1992. Environmental radioactivity in the North Atlantic Region including the Faroe Islands and Greenland. 1988 and 1989 (No. Risø-R-571).",1992,1,"-19.433,70.983",0xE6100000010C098A1F63EEBE5140575BB1BFEC6E33C0,-19.4333333333333,70.9833333333333,521687
2069,2356,Greenland Sea,1,Seawater,31,"Aarkrog et al., 1992",https://www.zotero.org/groups/2432820/maris/items/CRYJ794W,Table 4.3,,70,Harvard University - Harvard University Center for the Environment,70.9833333333333,-19.4333333333333,1988-09-15 00:00:00.000,,1988,,500.0,,,0,(Not available),,(Not available),,,,,0,(Not available),,,0,(Not available),,15,99Tc,,34.9,1.0,,,,,,,0,Not available,0,Not available,0,Not available,8,Beta,,=,0.04,,1,Bq/m3,,,,,0.0,,,1,,,"Aarkrog, A., Buch, E., Chen, Q.J., Christensen, G.C., Dahlgaard, H., Hansen, H., Holm, E., Nielsen, S.P., 1992. Environmental radioactivity in the North Atlantic Region including the Faroe Islands and Greenland. 1988 and 1989 (No. Risø-R-571).",1992,1,"-19.433,70.983",0xE6100000010C098A1F63EEBE5140575BB1BFEC6E33C0,-19.4333333333333,70.9833333333333,521688
2118,2356,Greenland Sea,1,Seawater,31,"Aarkrog et al., 1992",https://www.zotero.org/groups/2432820/maris/items/CRYJ794W,Table 4.3,,70,Harvard University - Harvard University Center for the Environment,71.0,-17.2833333333333,1988-09-12 00:00:00.000,,1988,,5.0,,,0,(Not available),,(Not available),,,,,0,(Not available),,,0,(Not available),,33,137Cs,,32.8,1.9,,,,,,,0,Not available,0,Not available,0,Not available,18,Gamma,,=,8.7,,1,Bq/m3,,,,,0.0,,,1,,,"Aarkrog, A., Buch, E., Chen, Q.J., Christensen, G.C., Dahlgaard, H., Hansen, H., Holm, E., Nielsen, S.P., 1992. Environmental radioactivity in the North Atlantic Region including the Faroe Islands and Greenland. 1988 and 1989 (No. Risø-R-571).",1992,1,"-17.283,71",0xE6100000010C0000000000C05140F1F44A59864831C0,-17.2833333333333,71.0,521689
2012,2356,Greenland Sea,1,Seawater,31,"Aarkrog et al., 1992",https://www.zotero.org/groups/2432820/maris/items/CRYJ794W,Table 4.3,,70,Harvard University - Harvard University Center for the Environment,70.9833333333333,-14.3333333333333,1988-09-11 00:00:00.000,,1988,,5.0,,,0,(Not available),,(Not available),,,,,0,(Not available),,,0,(Not available),,12,90Sr,,34.2,4.9,,,,,,,0,Not available,0,Not available,0,Not available,8,Beta,,=,2.5,,1,Bq/m3,,,,,0.0,,,1,,,"Aarkrog, A., Buch, E., Chen, Q.J., Christensen, G.C., Dahlgaard, H., Hansen, H., Holm, E., Nielsen, S.P., 1992. Environmental radioactivity in the North Atlantic Region including the Faroe Islands and Greenland. 1988 and 1989 (No. Risø-R-571).",1992,1,"-14.333,70.983",0xE6100000010C098A1F63EEBE51407B832F4CA6AA2CC0,-14.3333333333333,70.9833333333333,521690
2018,2356,Greenland Sea,1,Seawater,31,"Aarkrog et al., 1992",https://www.zotero.org/groups/2432820/maris/items/CRYJ794W,Table 4.3,,70,Harvard University - Harvard University Center for the Environment,71.0,-17.2833333333333,1988-09-12 00:00:00.000,,1988,,86.0,,,0,(Not available),,(Not available),,,,,0,(Not available),,,0,(Not available),,12,90Sr,,34.6,0.2,,,,,,,0,Not available,0,Not available,0,Not available,8,Beta,,=,2.7,,1,Bq/m3,,,,,0.0,,,1,,,"Aarkrog, A., Buch, E., Chen, Q.J., Christensen, G.C., Dahlgaard, H., Hansen, H., Holm, E., Nielsen, S.P., 1992. Environmental radioactivity in the North Atlantic Region including the Faroe Islands and Greenland. 1988 and 1989 (No. Risø-R-571).",1992,1,"-17.283,71",0xE6100000010C0000000000C05140F1F44A59864831C0,-17.2833333333333,71.0,521691
2135,2356,Greenland Sea,1,Seawater,31,"Aarkrog et al., 1992",https://www.zotero.org/groups/2432820/maris/items/CRYJ794W,Table 4.3,,70,Harvard University - Harvard University Center for the Environment,70.9833333333333,-19.4333333333333,1988-09-15 00:00:00.000,,1988,,500.0,,,0,(Not available),,(Not available),,,,,0,(Not available),,,0,(Not available),,33,137Cs,,34.9,1.0,,,,,,,0,Not available,0,Not available,0,Not available,18,Gamma,,=,6.5,,1,Bq/m3,,,,,0.0,,,1,,,"Aarkrog, A., Buch, E., Chen, Q.J., Christensen, G.C., Dahlgaard, H., Hansen, H., Holm, E., Nielsen, S.P., 1992. Environmental radioactivity in the North Atlantic Region including the Faroe Islands and Greenland. 1988 and 1989 (No. Risø-R-571).",1992,1,"-19.433,70.983",0xE6100000010C098A1F63EEBE5140575BB1BFEC6E33C0,-19.4333333333333,70.9833333333333,521692
