sample_id,area_id,areaname,samptype_id,samptype,ref_id,displaytext,zoterourl,ref_note,datbase,lab_id,lab,latitude,longitude,begperiod,endperiod,samplingyear,totdepth,sampdepth,station,samplabcode,species_id,taxonname,taxonrank,biogroup,taxondb,taxondbid,taxondburl,taxonrepname,bodypar_id,bodypar,sliceup,slicedown,sedtype_id,sedtype,sedrepname,nuclide_id,nusymbol,volume,salinity,temperatur,filtered,filtpore,samparea,drywt,wetwt,percentwt,sampmet_id,sampmet,prepmet_id,prepmet,drymet_id,drymet,counmet_id,counmet,decayedto,detection,activity,uncertaint,unit_id,unit,vartype,freq,rangelow,rangeupp,profile,transect_id,measure_note,shapetype_id,profile_id,sampnote,ref_fulltext,ref_yearpub,ref_sampleTypes,LongLat,displaycoordinates,DisplayLong,DisplayLat,id
421152,1912,North Atlantic Ocean,1,Seawater,395,"Bailly du Bois et al., 2020",https://www.zotero.org/groups/2432820/maris/items/VTG8KVPZ,,,0,Laboratory of Ion Beam Physics,45.4202777777778,-18.7972222222222,2004-06-26 18:06:00.000,,2004,,0.0,O4Cs12,Ovide2004____O4Cs12____0.0,0,(Not available),,(Not available),,,,,0,(Not available),,,0,(Not available),,33,137Cs,,35.684,,,,,,,,0,Not available,0,Not available,0,Not available,0,Not available,,=,1.57,0.13,1,Bq/m3,,,,,0.0,,Updated: 2020-07-08T16:14:07.797. ,1,,Updated: 2020-07-08T16:14:07.797. ,"Bailly du Bois, P., Dumas, F., Voiseux, C., Morillon, M., Oms, P.-E., Solier, L., 2020. Dissolved radiotracers and numerical modeling in North European continental shelf dispersion studies (1982–2016): Databases, methods and applications. Water 12, 1667. https://doi.org/10.3390/w12061667",2020,1,"-18.797,45.42",0xE6100000010C2041F163CCB54640075F984C15CC32C0,-18.7972222222222,45.4202777777778,446536
436818,2389,English Channel,1,Seawater,395,"Bailly du Bois et al., 2020",https://www.zotero.org/groups/2432820/maris/items/VTG8KVPZ,,,0,Laboratory of Ion Beam Physics,49.67,-1.97138888888889,2010-10-08 18:49:00.000,,2010,,22.72,1916,Disver2010______1916___22.7,0,(Not available),,(Not available),,,,,0,(Not available),,,0,(Not available),,1,3H,,,,,,,,,,0,Not available,0,Not available,0,Not available,0,Not available,,=,7555.22393156925,5220.55205459553,1,Bq/m3,,,,,0.0,,Updated: 2020-07-08T16:37:34.520. ,1,395.14339,Updated: 2020-07-08T16:37:34.520. ,"Bailly du Bois, P., Dumas, F., Voiseux, C., Morillon, M., Oms, P.-E., Solier, L., 2020. Dissolved radiotracers and numerical modeling in North European continental shelf dispersion studies (1982–2016): Databases, methods and applications. Water 12, 1667. https://doi.org/10.3390/w12061667",2020,1,"-1.971,49.67",0xE6100000010CF6285C8FC2D5484042959A3DD08AFFBF,-1.97138888888889,49.67,594503
434948,2389,English Channel,1,Seawater,395,"Bailly du Bois et al., 2020",https://www.zotero.org/groups/2432820/maris/items/VTG8KVPZ,,,0,Laboratory of Ion Beam Physics,49.6655555555556,-1.96583333333333,2008-10-19 08:07:00.000,,2008,,12.0,826,Disver2008_______826___12.0,0,(Not available),,(Not available),,,,,0,(Not available),,,0,(Not available),,1,3H,,,,,,,,,,0,Not available,0,Not available,0,Not available,0,Not available,,=,6448.91812056357,5069.95131130999,1,Bq/m3,,,,,0.0,,Updated: 2020-07-08T16:37:15.303. ,1,395.13434,Updated: 2020-07-08T16:37:15.300. ,"Bailly du Bois, P., Dumas, F., Voiseux, C., Morillon, M., Oms, P.-E., Solier, L., 2020. Dissolved radiotracers and numerical modeling in North European continental shelf dispersion studies (1982–2016): Databases, methods and applications. Water 12, 1667. https://doi.org/10.3390/w12061667",2020,1,"-1.966,49.666",0xE6100000010CDA1B7C6132D548404EEE77280A74FFBF,-1.96583333333333,49.6655555555556,561304
460726,2350,North Sea,1,Seawater,395,"Bailly du Bois et al., 2020",https://www.zotero.org/groups/2432820/maris/items/VTG8KVPZ,,,0,Laboratory of Ion Beam Physics,54.8619444444444,8.06694444444444,1988-07-26 03:42:00.000,,1988,,3.0,215,Tramanor1_______215____3.0,0,(Not available),,(Not available),,,,,0,(Not available),,,0,(Not available),,24,125Sb,,29.6,,,,,,,,0,Not available,0,Not available,0,Not available,0,Not available,,=,18.1,2.353,1,Bq/m3,,,,,0.0,,Updated: 2020-07-08T17:48:15.907. ,1,,Updated: 2020-07-08T17:48:15.907. ,"Bailly du Bois, P., Dumas, F., Voiseux, C., Morillon, M., Oms, P.-E., Solier, L., 2020. Dissolved radiotracers and numerical modeling in North European continental shelf dispersion studies (1982–2016): Databases, methods and applications. Water 12, 1667. https://doi.org/10.3390/w12061667",2020,1,"8.067,54.862",0xE6100000010C11363CBD526E4B40A796ADF545222040,8.06694444444444,54.8619444444444,505943
448750,2389,English Channel,1,Seawater,395,"Bailly du Bois et al., 2020",https://www.zotero.org/groups/2432820/maris/items/VTG8KVPZ,,,0,Laboratory of Ion Beam Physics,49.7333333333333,-2.0,1988-07-27 00:00:00.000,,1988,,3.0,51,Pluteus0788________51____3.0,0,(Not available),,(Not available),,,,,0,(Not available),,,0,(Not available),,24,125Sb,,,,,,,,,,0,Not available,0,Not available,0,Not available,0,Not available,,=,136.0,17.68,1,Bq/m3,,,,,0.0,,Updated: 2020-07-08T17:22:27.380. ,1,,Updated: 2020-07-08T17:22:27.380. ,"Bailly du Bois, P., Dumas, F., Voiseux, C., Morillon, M., Oms, P.-E., Solier, L., 2020. Dissolved radiotracers and numerical modeling in North European continental shelf dispersion studies (1982–2016): Databases, methods and applications. Water 12, 1667. https://doi.org/10.3390/w12061667",2020,1,"-2,49.733",0xE6100000010C12143FC6DCDD484000000000000000C0,-2.0,49.7333333333333,599757
458756,2389,English Channel,1,Seawater,395,"Bailly du Bois et al., 2020",https://www.zotero.org/groups/2432820/maris/items/VTG8KVPZ,,,0,Laboratory of Ion Beam Physics,49.9025,-2.05083333333333,2005-04-03 18:00:00.000,,2005,,3.0,16,Dispro2005________16____3.0,0,(Not available),,(Not available),,,,,0,(Not available),,,0,(Not available),,1,3H,,,,,,,,,,0,Not available,0,Not available,0,Not available,0,Not available,,=,5575.87675751472,924.510107740218,1,Bq/m3,,,,,0.0,,Updated: 2020-07-08T17:47:46.930. ,1,,Updated: 2020-07-08T17:47:46.930. ,"Bailly du Bois, P., Dumas, F., Voiseux, C., Morillon, M., Oms, P.-E., Solier, L., 2020. Dissolved radiotracers and numerical modeling in North European continental shelf dispersion studies (1982–2016): Databases, methods and applications. Water 12, 1667. https://doi.org/10.3390/w12061667",2020,1,"-2.051,49.903",0xE6100000010CEC51B81E85F34840D53E1D8F196800C0,-2.05083333333333,49.9025,611304
427404,2389,English Channel,1,Seawater,395,"Bailly du Bois et al., 2020",https://www.zotero.org/groups/2432820/maris/items/VTG8KVPZ,,,0,Laboratory of Ion Beam Physics,49.6186111111111,-2.07222222222222,2005-04-11 21:01:00.000,,2005,,3.0,2941,Dispro2005______2941____3.0,0,(Not available),,(Not available),,,,,0,(Not available),,,0,(Not available),,1,3H,,,,,,,,,,0,Not available,0,Not available,0,Not available,0,Not available,,=,14794.967935797,2017.86974985811,1,Bq/m3,,,,,0.0,,Updated: 2020-07-08T16:29:01.653. ,1,,Updated: 2020-07-08T16:29:01.653. ,"Bailly du Bois, P., Dumas, F., Voiseux, C., Morillon, M., Oms, P.-E., Solier, L., 2020. Dissolved radiotracers and numerical modeling in North European continental shelf dispersion studies (1982–2016): Databases, methods and applications. Water 12, 1667. https://doi.org/10.3390/w12061667",2020,1,"-2.072,49.619",0xE6100000010C1EA7E8482ECF4840DDEF5014E89300C0,-2.07222222222222,49.6186111111111,558407
458411,2389,English Channel,1,Seawater,395,"Bailly du Bois et al., 2020",https://www.zotero.org/groups/2432820/maris/items/VTG8KVPZ,,,0,Laboratory of Ion Beam Physics,49.8205555555556,-3.8725,1994-09-07 19:45:00.000,,1994,,75.0,91,Gedymac1994________91___75.0,0,(Not available),,(Not available),,,,,0,(Not available),,,0,(Not available),,17,106Ru,,35.29,,,,,,,,0,Not available,0,Not available,0,Not available,0,Not available,,<,3.0,,1,Bq/m3,,,,,0.0,,Updated: 2020-07-08T17:47:43.797. ,1,,Updated: 2020-07-08T17:47:43.797. ,"Bailly du Bois, P., Dumas, F., Voiseux, C., Morillon, M., Oms, P.-E., Solier, L., 2020. Dissolved radiotracers and numerical modeling in North European continental shelf dispersion studies (1982–2016): Databases, methods and applications. Water 12, 1667. https://doi.org/10.3390/w12061667",2020,1,"-3.873,49.821",0xE6100000010C7E8CB96B09E948407B14AE47E1FA0EC0,-3.8725,49.8205555555556,568497
433282,2389,English Channel,1,Seawater,395,"Bailly du Bois et al., 2020",https://www.zotero.org/groups/2432820/maris/items/VTG8KVPZ,,,0,Laboratory of Ion Beam Physics,49.6647222222222,-1.96555555555556,2008-10-19 07:46:00.000,,2008,,8.0,424,Disver2008_______424____8.0,0,(Not available),,(Not available),,,,,0,(Not available),,,0,(Not available),,1,3H,,,,,,,,,,0,Not available,0,Not available,0,Not available,0,Not available,,<,4963.83788597979,,1,Bq/m3,,,,,0.0,,Updated: 2020-07-08T16:37:06.263. ,1,395.12856,Updated: 2020-07-08T16:37:06.263. ,"Bailly du Bois, P., Dumas, F., Voiseux, C., Morillon, M., Oms, P.-E., Solier, L., 2020. Dissolved radiotracers and numerical modeling in North European continental shelf dispersion studies (1982–2016): Databases, methods and applications. Water 12, 1667. https://doi.org/10.3390/w12061667",2020,1,"-1.966,49.665",0xE6100000010C5BD3BCE314D548405036E50AEF72FFBF,-1.96555555555556,49.6647222222222,597583
460577,2350,North Sea,1,Seawater,395,"Bailly du Bois et al., 2020",https://www.zotero.org/groups/2432820/maris/items/VTG8KVPZ,,,0,Laboratory of Ion Beam Physics,53.7919444444444,7.28388888888889,1991-07-20 05:15:00.000,,1991,,3.0,40,Tramanor3________40____3.0,0,(Not available),,(Not available),,,,,0,(Not available),,,0,(Not available),,33,137Cs,,32.62,,,,,,,,0,Not available,0,Not available,0,Not available,0,Not available,,=,9.47,,1,Bq/m3,,,,,0.0,,Updated: 2020-07-08T17:48:15.417. ,1,,Updated: 2020-07-08T17:48:15.413. ,"Bailly du Bois, P., Dumas, F., Voiseux, C., Morillon, M., Oms, P.-E., Solier, L., 2020. Dissolved radiotracers and numerical modeling in North European continental shelf dispersion studies (1982–2016): Databases, methods and applications. Water 12, 1667. https://doi.org/10.3390/w12061667",2020,1,"7.284,53.792",0xE6100000010CE8D9ACFA5CE54A4051A5660FB4221D40,7.28388888888889,53.7919444444444,502742
