samplabcode,longitude,latitude,totdepth,begperiod,station,nuclide_id,activity,unit_id,uncertaint,detection,sedtype_id,sliceup,slicedown,percentwt,samptype_id,ref_id
SSTUK2006160,20.05,57.31983,238.0,1149638400,BY15,4,627.0,3,62.7,=,60,4.0,5.0,,3,100
SCLOR1999044,18.4,55.55,89.0,934416000,P140,53,42.3,3,3.3417,=,0,9.0,11.0,0.2745,3,100
SKRIL2010013,29.05,60.033333,31.0,1276128000,RU12,33,300.0,3,21.0,=,2,0.0,2.0,,3,100
SKRIL1992019,23.15,59.433334,96.0,708739200,USSR11,33,2.0,3,1.98,=,0,20.0,25.0,,3,100
SKRIL2003101,27.4,60.083332,61.0,1064880000,RU20,4,950.0,3,161.5,=,2,6.0,8.0,0.42,3,100
SDHIG2008113,14.2013,54.00617,12.0,1213833600,ODER,4,233.0,3,2.33,=,34,10.0,12.0,0.77,3,100
SSTUK2000079,26.3465,60.067165,68.0,959040000,LL3a,33,3512.2,3,105.366,=,60,19.0,20.0,,3,100
SDHIG2023023,10.8493,54.04983,20.0,1686096000,NEUBU,4,751.54,3,17.428213,=,4,14.0,16.0,0.418,3,100
SRISO2003014,10.9975,55.375,38.0,1045440000,BELT SEA,33,0.81,3,0.081,=,0,9.0,12.0,,3,100
SKRIL1985008,29.05,60.033333,30.0,490320000,USSR12,33,96.0,3,6.72,=,0,7.0,8.0,,3,100
SSTUK2006160,20.05,57.31983,238.0,1149638400,BY15,4,437.123,2,,=,60,4.0,5.0,,3,100
SCLOR1999044,18.4,55.55,89.0,934416000,P140,53,333.6,2,,=,0,9.0,11.0,0.2745,3,100
SKRIL1992019,23.15,59.433334,96.0,708739200,USSR11,33,33.0,2,,=,0,20.0,25.0,,3,100
SDHIG2008113,14.2013,54.00617,12.0,1213833600,ODER,4,6560.0,2,,=,34,10.0,12.0,0.77,3,100
SSTUK2000079,26.3465,60.067165,68.0,959040000,LL3a,33,6150.0,2,,=,60,19.0,20.0,,3,100
SDHIG2023023,10.8493,54.04983,20.0,1686096000,NEUBU,4,9700.544,2,,=,4,14.0,16.0,0.418,3,100
SRISO2003014,10.9975,55.375,38.0,1045440000,BELT SEA,33,21.61,2,,=,0,9.0,12.0,,3,100
SKRIL1985008,29.05,60.033333,30.0,490320000,USSR12,33,286.0,2,,=,0,7.0,8.0,,3,100
