/* DATA DESCRIPTION:
Citation:	Bailly du Bois, Pascal; Dumas, F; Solier, L; Voiseux, C (2011): Current measurements with ADCP 20030613_Ecalgrain. PANGAEA, https://doi.org/10.1594/PANGAEA.762262, 
	In supplement to: Bailly du Bois, P et al. (2012): In-situ database toolbox for short-term dispersion model validation in macro-tidal seas, application for 2D-model. Continental Shelf Research, 36, 63-82, https://doi.org/10.1016/j.csr.2012.01.011
Coverage:	LATITUDE: 49.692400 * LONGITUDE: -1.946200
	DATE/TIME START: 2003-06-13T16:31:05 * DATE/TIME END: 2003-06-14T06:51:20
	MINIMUM ELEVATION: -11.6 m * MAXIMUM ELEVATION: -11.6 m
Event(s):	20030613_Ecalgrain (1) * LATITUDE: 49.692400 * LONGITUDE: -1.946200 * DATE/TIME START: 2003-06-13T16:27:05 * DATE/TIME END: 2003-06-14T06:56:35 * ELEVATION: -11.6 m * LOCATION: Ecalgrain * CAMPAIGN: DISPRO_11 (Dsp11, Dispro11) (URI: https://doi.org/10.17600/3480070) * BASIS: Côtes de la Manche * METHOD/DEVICE: Acoustic Doppler Current Profiler (ADCP) * COMMENT: location: bottom
Comment:	Current measurements were acquired from several stations around the Cap de la Hague over periods of 14-25 hours, using a SONTEK ADP profiler with a frequency of 1 000 kHz placed on the seabed. Current profiles were collected every 15 s, with vertical resolution of 2 m. files contains average speeds from surface to bottom.
Parameter(s):	DATE/TIME (Date/Time) * GEOCODE
	Current velocity, vertical [cm/s] (Cur vel W) * PI: Bailly du Bois, Pascal (https://orcid.org/0000-0001-8436-0772, pascal.bailly-du-bois@irsn.fr) * METHOD/DEVICE: SonTek Acoustic Doppler Profiler (ADP)
	Current direction [deg] (DIR) * PI: Bailly du Bois, Pascal (https://orcid.org/0000-0001-8436-0772, pascal.bailly-du-bois@irsn.fr) * METHOD/DEVICE: SonTek Acoustic Doppler Profiler (ADP)
License:	Creative Commons Attribution-NonCommercial 3.0 Unported (CC-BY-NC-3.0)
Size:	6884 data points
*/
Date/Time	Cur vel W [cm/s]	DIR [deg]
2003-06-13T16:31:05	46.39	8.85
2003-06-13T16:31:20	60.67	354.39
2003-06-13T16:31:35	47.66	344.74
2003-06-13T16:31:50	18.64	345.39
2003-06-13T16:32:05	11.00	315.43
2003-06-13T16:32:20	19.85	324.42
2003-06-13T16:32:35	19.71	330.79
2003-06-13T16:32:51	17.47	335.12
2003-06-13T16:33:05	16.28	329.13
2003-06-13T16:33:20	17.30	337.79
2003-06-13T16:33:35	16.10	342.17
2003-06-13T16:33:50	16.02	340.01
2003-06-13T16:34:05	17.84	340.62
2003-06-13T16:34:20	19.60	334.87
2003-06-13T16:34:35	16.53	335.16
2003-06-13T16:34:50	14.26	343.01
2003-06-13T16:35:05	13.62	335.25
2003-06-13T16:35:20	14.68	337.86
2003-06-13T16:35:36	16.85	340.55
2003-06-13T16:35:50	15.34	343.28
2003-06-13T16:36:05	18.04	351.17
2003-06-13T16:36:20	19.50	333.88
2003-06-13T16:36:34	17.53	348.26
2003-06-13T16:36:50	15.11	356.85
2003-06-13T16:37:05	12.06	354.24
2003-06-13T16:37:20	13.60	359.37
2003-06-13T16:37:34	15.41	357.77
2003-06-13T16:37:50	12.88	352.15
2003-06-13T16:38:05	14.81	348.75
2003-06-13T16:38:20	16.37	353.97
2003-06-13T16:38:36	18.69	8.06
2003-06-13T16:38:50	16.84	5.25
2003-06-13T16:39:05	13.63	4.25
2003-06-13T16:39:20	11.27	10.95
2003-06-13T16:39:35	11.17	15.26
2003-06-13T16:39:50	10.63	10.84
2003-06-13T16:40:05	10.79	14.55
2003-06-13T16:40:20	13.62	0.50
2003-06-13T16:40:35	14.38	9.32
2003-06-13T16:40:50	17.48	0.85
2003-06-13T16:41:05	16.52	359.61
2003-06-13T16:41:20	15.66	342.84
2003-06-13T16:41:35	19.29	8.78
2003-06-13T16:41:50	17.27	4.80
2003-06-13T16:42:05	21.18	353.71
2003-06-13T16:42:19	18.39	4.55
2003-06-13T16:42:35	13.69	15.77
2003-06-13T16:42:50	10.96	20.53
2003-06-13T16:43:05	9.19	17.38
2003-06-13T16:43:19	12.23	33.16
2003-06-13T16:43:35	9.50	43.10
2003-06-13T16:43:50	8.89	39.58
2003-06-13T16:44:05	10.40	44.18
2003-06-13T16:44:20	17.08	33.76
2003-06-13T16:44:35	20.04	23.56
2003-06-13T16:44:50	14.59	16.78
2003-06-13T16:45:05	15.89	18.38
2003-06-13T16:45:20	13.42	8.04
2003-06-13T16:45:35	15.55	24.59
2003-06-13T16:45:50	20.65	29.00
2003-06-13T16:46:04	22.36	32.04
2003-06-13T16:46:20	19.17	36.49
2003-06-13T16:46:35	15.07	42.55
2003-06-13T16:46:50	17.37	50.11
2003-06-13T16:47:05	17.97	45.83
2003-06-13T16:47:20	16.54	35.48
2003-06-13T16:47:35	17.18	38.22
2003-06-13T16:47:50	12.81	43.77
2003-06-13T16:48:05	10.66	49.38
2003-06-13T16:48:20	10.08	40.74
2003-06-13T16:48:35	14.41	58.16
2003-06-13T16:48:49	19.66	57.17
2003-06-13T16:49:05	16.41	58.28
2003-06-13T16:49:20	21.59	70.38
2003-06-13T16:49:35	15.11	67.76
2003-06-13T16:49:50	15.14	63.65
2003-06-13T16:50:05	19.69	52.68
2003-06-13T16:50:20	21.21	45.31
2003-06-13T16:50:35	20.41	48.32
2003-06-13T16:50:50	12.60	32.35
2003-06-13T16:51:05	15.76	41.37
2003-06-13T16:51:20	16.75	66.86
2003-06-13T16:51:35	15.81	72.14
2003-06-13T16:51:50	18.07	64.21
2003-06-13T16:52:05	11.98	52.87
2003-06-13T16:52:20	9.57	69.83
2003-06-13T16:52:34	16.66	74.15
2003-06-13T16:52:50	18.86	71.96
2003-06-13T16:53:05	16.26	72.98
2003-06-13T16:53:20	22.86	68.09
2003-06-13T16:53:35	22.75	66.15
2003-06-13T16:53:50	25.94	65.91
2003-06-13T16:54:05	29.41	65.45
2003-06-13T16:54:20	28.60	46.29
2003-06-13T16:54:35	22.27	59.12
2003-06-13T16:54:50	25.76	54.89
2003-06-13T16:55:05	21.49	62.78
2003-06-13T16:55:21	18.09	78.49
2003-06-13T16:55:35	33.72	63.23
2003-06-13T16:55:50	34.61	72.04
2003-06-13T16:56:05	31.90	64.00
2003-06-13T16:56:20	36.26	53.79
2003-06-13T16:56:35	33.72	62.91
2003-06-13T16:56:50	30.45	54.41
2003-06-13T16:57:05	30.69	65.59
2003-06-13T16:57:20	30.23	64.16
2003-06-13T16:57:35	33.49	56.36
2003-06-13T16:57:50	31.20	57.88
2003-06-13T16:58:05	33.11	64.49
2003-06-13T16:58:20	22.22	66.84
2003-06-13T16:58:35	30.58	55.46
2003-06-13T16:58:50	45.09	54.81
2003-06-13T16:59:05	22.89	54.32
2003-06-13T16:59:20	23.85	51.94
2003-06-13T16:59:35	28.62	66.39
2003-06-13T16:59:50	24.08	67.78
2003-06-13T17:00:05	28.15	50.91
2003-06-13T17:00:20	32.20	47.51
2003-06-13T17:00:35	35.35	30.95
