/* DATA DESCRIPTION:
Citation:	Bailly du Bois, Pascal; Dumas, F; Solier, L; Voiseux, C (2011): Current measurements with ADCP 20030808_StMartin. PANGAEA, https://doi.org/10.1594/PANGAEA.762373, 
	In supplement to: Bailly du Bois, P et al. (2012): In-situ database toolbox for short-term dispersion model validation in macro-tidal seas, application for 2D-model. Continental Shelf Research, 36, 63-82, https://doi.org/10.1016/j.csr.2012.01.011
Coverage:	LATITUDE: 49.714000 * LONGITUDE: -1.883500
	DATE/TIME START: 2003-08-08T09:19:54 * DATE/TIME END: 2003-08-09T09:44:39
	MINIMUM ELEVATION: -8.0 m * MAXIMUM ELEVATION: -8.0 m
Event(s):	20030808_StMartin (4) * LATITUDE: 49.714000 * LONGITUDE: -1.883500 * DATE/TIME START: 2003-08-08T09:19:54 * DATE/TIME END: 2003-08-09T09:44:39 * ELEVATION: -8.0 m * LOCATION: St Martin * CAMPAIGN: DISPRO_12 (Dsp12, Dispro12) (URI: https://doi.org/10.17600/3480140) * BASIS: Côtes de la Manche * METHOD/DEVICE: Acoustic Doppler Current Profiler (ADCP) * COMMENT: location: bottom
Comment:	Current measurements were acquired from several stations around the Cap de la Hague over periods of 14-25 hours, using a SONTEK ADP profiler with a frequency of 1 000 kHz placed on the seabed. Current profiles were collected every 15 s, with vertical resolution of 2 m. files contains average speeds from surface to bottom.
Parameter(s):	DATE/TIME (Date/Time) * GEOCODE
	Current velocity, vertical [cm/s] (Cur vel W) * PI: Bailly du Bois, Pascal (https://orcid.org/0000-0001-8436-0772, pascal.bailly-du-bois@irsn.fr) * METHOD/DEVICE: SonTek Acoustic Doppler Profiler (ADP)
	Current direction [deg] (DIR) * PI: Bailly du Bois, Pascal (https://orcid.org/0000-0001-8436-0772, pascal.bailly-du-bois@irsn.fr) * METHOD/DEVICE: SonTek Acoustic Doppler Profiler (ADP)
License:	Creative Commons Attribution-NonCommercial 3.0 Unported (CC-BY-NC-3.0)
Size:	11720 data points
*/
Date/Time	Cur vel W [cm/s]	DIR [deg]
2003-08-08T09:19:54	36.91	269.58
2003-08-08T09:20:08	7.62	138.53
2003-08-08T09:20:24	8.70	132.73
2003-08-08T09:20:38	13.36	136.65
2003-08-08T09:20:54	17.39	140.11
2003-08-08T09:21:08	15.22	142.92
2003-08-08T09:21:24	18.18	171.49
2003-08-08T09:21:38	20.42	172.51
2003-08-08T09:21:54	16.70	169.27
2003-08-08T09:22:08	12.96	111.71
2003-08-08T09:22:24	14.82	141.59
2003-08-08T09:22:38	12.65	130.26
2003-08-08T09:22:54	10.58	115.29
2003-08-08T09:23:08	10.63	139.48
2003-08-08T09:23:24	6.67	109.65
2003-08-08T09:23:38	8.37	171.60
2003-08-08T09:23:54	8.02	142.70
2003-08-08T09:24:08	9.89	132.62
2003-08-08T09:24:24	14.03	143.08
2003-08-08T09:24:38	8.00	101.90
2003-08-08T09:24:54	9.12	146.06
2003-08-08T09:25:08	9.31	132.85
2003-08-08T09:25:24	9.91	86.39
2003-08-08T09:25:38	6.44	131.62
2003-08-08T09:25:54	12.68	110.97
2003-08-08T09:26:08	8.69	139.46
2003-08-08T09:26:24	8.70	120.50
2003-08-08T09:26:38	13.38	146.86
2003-08-08T09:26:54	6.51	93.19
2003-08-08T09:27:08	9.85	121.51
2003-08-08T09:27:24	5.71	98.69
2003-08-08T09:27:38	12.96	121.81
2003-08-08T09:27:54	10.38	157.51
2003-08-08T09:28:08	7.88	137.51
2003-08-08T09:28:24	10.15	157.44
2003-08-08T09:28:38	9.82	142.97
2003-08-08T09:28:54	8.06	144.59
2003-08-08T09:29:08	8.23	126.39
2003-08-08T09:29:24	8.86	124.19
2003-08-08T09:29:38	8.58	163.25
2003-08-08T09:29:54	4.04	152.67
2003-08-08T09:30:08	6.90	131.28
2003-08-08T09:30:24	7.41	123.15
2003-08-08T09:30:38	1.73	135.62
2003-08-08T09:30:54	8.69	93.13
2003-08-08T09:31:08	5.59	195.03
2003-08-08T09:31:24	8.91	129.85
2003-08-08T09:31:38	5.84	135.56
2003-08-08T09:31:54	10.24	108.81
2003-08-08T09:32:08	6.10	161.86
2003-08-08T09:32:24	8.94	118.52
2003-08-08T09:32:38	12.34	122.13
