/* DATA DESCRIPTION:
Citation:	Bailly du Bois, Pascal; Dumas, F; Solier, L; Voiseux, C (2011): Current measurements with ADCP 20030809_Vauville. PANGAEA, https://doi.org/10.1594/PANGAEA.762374, 
	In supplement to: Bailly du Bois, P et al. (2012): In-situ database toolbox for short-term dispersion model validation in macro-tidal seas, application for 2D-model. Continental Shelf Research, 36, 63-82, https://doi.org/10.1016/j.csr.2012.01.011
Coverage:	LATITUDE: 49.614300 * LONGITUDE: -1.992600
	DATE/TIME START: 2003-08-09T13:04:06 * DATE/TIME END: 2003-08-10T14:12:51
	MINIMUM ELEVATION: -25.1 m * MAXIMUM ELEVATION: -25.1 m
Event(s):	20030809_Vauville (5) * LATITUDE: 49.614300 * LONGITUDE: -1.992600 * DATE/TIME START: 2003-08-09T13:04:06 * DATE/TIME END: 2003-08-10T14:12:51 * ELEVATION: -25.1 m * LOCATION: Vauville * CAMPAIGN: DISPRO_12 (Dsp12, Dispro12) (URI: https://doi.org/10.17600/3480140) * BASIS: Côtes de la Manche * METHOD/DEVICE: Acoustic Doppler Current Profiler (ADCP) * COMMENT: location: bottom
Comment:	Current measurements were acquired from several stations around the Cap de la Hague over periods of 14-25 hours, using a SONTEK ADP profiler with a frequency of 1 000 kHz placed on the seabed. Current profiles were collected every 15 s, with vertical resolution of 2 m. files contains average speeds from surface to bottom.
Parameter(s):	DATE/TIME (Date/Time) * GEOCODE
	Current velocity, vertical [cm/s] (Cur vel W) * PI: Bailly du Bois, Pascal (https://orcid.org/0000-0001-8436-0772, pascal.bailly-du-bois@irsn.fr) * METHOD/DEVICE: SonTek Acoustic Doppler Profiler (ADP)
	Current direction [deg] (DIR) * PI: Bailly du Bois, Pascal (https://orcid.org/0000-0001-8436-0772, pascal.bailly-du-bois@irsn.fr) * METHOD/DEVICE: SonTek Acoustic Doppler Profiler (ADP)
License:	Creative Commons Attribution-NonCommercial 3.0 Unported (CC-BY-NC-3.0)
Size:	12072 data points
*/
Date/Time	Cur vel W [cm/s]	DIR [deg]
2003-08-09T13:04:06	31.11	300.05
2003-08-09T13:04:22	35.04	223.22
2003-08-09T13:04:36	42.16	196.38
2003-08-09T13:04:52	48.17	153.57
2003-08-09T13:05:06	47.10	151.02
2003-08-09T13:05:22	50.24	151.05
2003-08-09T13:05:36	50.91	153.37
2003-08-09T13:05:52	50.22	152.92
2003-08-09T13:06:06	49.91	149.75
2003-08-09T13:06:22	48.44	154.25
2003-08-09T13:06:36	48.85	154.49
2003-08-09T13:06:52	52.71	157.77
2003-08-09T13:07:06	50.77	156.19
2003-08-09T13:07:22	50.47	161.81
2003-08-09T13:07:36	44.35	161.49
2003-08-09T13:07:52	44.72	149.40
2003-08-09T13:08:06	45.44	152.52
2003-08-09T13:08:22	48.19	150.41
2003-08-09T13:08:36	47.92	147.02
2003-08-09T13:08:52	44.15	146.74
2003-08-09T13:09:06	44.86	154.12
2003-08-09T13:09:22	44.18	156.22
2003-08-09T13:09:36	45.88	162.60
2003-08-09T13:09:52	44.73	156.36
2003-08-09T13:10:06	45.83	150.30
2003-08-09T13:10:22	44.99	154.16
2003-08-09T13:10:36	43.30	154.55
2003-08-09T13:10:52	42.70	150.18
2003-08-09T13:11:06	44.02	153.29
2003-08-09T13:11:22	42.48	160.84
2003-08-09T13:11:36	39.42	150.33
2003-08-09T13:11:52	41.49	154.13
2003-08-09T13:12:06	41.15	150.84
2003-08-09T13:12:22	43.28	147.71
2003-08-09T13:12:36	40.47	144.15
2003-08-09T13:12:52	36.46	147.46
2003-08-09T13:13:06	34.07	147.84
2003-08-09T13:13:22	38.50	145.09
2003-08-09T13:13:36	40.40	148.47
2003-08-09T13:13:52	37.96	148.38
2003-08-09T13:14:06	37.85	146.87
2003-08-09T13:14:22	38.11	149.03
2003-08-09T13:14:36	39.93	154.44
2003-08-09T13:14:52	42.44	154.28
2003-08-09T13:15:07	40.05	148.27
2003-08-09T13:15:22	36.29	143.42
2003-08-09T13:15:36	35.10	143.30
2003-08-09T13:15:52	32.88	144.47
