/* DATA DESCRIPTION:
Citation:	Bailly du Bois, Pascal; Dumas, F; Solier, L; Voiseux, C (2011): Current measurements with ADCP 20030810_Flamanville. PANGAEA, https://doi.org/10.1594/PANGAEA.762375, 
	In supplement to: Bailly du Bois, P et al. (2012): In-situ database toolbox for short-term dispersion model validation in macro-tidal seas, application for 2D-model. Continental Shelf Research, 36, 63-82, https://doi.org/10.1016/j.csr.2012.01.011
Coverage:	LATITUDE: 49.522500 * LONGITUDE: -2.055100
	DATE/TIME START: 2003-08-10T15:05:15 * DATE/TIME END: 2003-08-11T09:22:45
	MINIMUM ELEVATION: -29.2 m * MAXIMUM ELEVATION: -29.2 m
Event(s):	20030810_Flamanville (6) * LATITUDE: 49.522500 * LONGITUDE: -2.055100 * DATE/TIME START: 2003-08-10T15:05:15 * DATE/TIME END: 2003-08-11T09:22:45 * ELEVATION: -29.2 m * LOCATION: Flamanville * CAMPAIGN: DISPRO_12 (Dsp12, Dispro12) (URI: https://doi.org/10.17600/3480140) * BASIS: Côtes de la Manche * METHOD/DEVICE: Acoustic Doppler Current Profiler (ADCP) * COMMENT: location: bottom
Comment:	Current measurements were acquired from several stations around the Cap de la Hague over periods of 14-25 hours, using a SONTEK ADP profiler with a frequency of 1 000 kHz placed on the seabed. Current profiles were collected every 15 s, with vertical resolution of 2 m. files contains average speeds from surface to bottom.
Parameter(s):	DATE/TIME (Date/Time) * GEOCODE
	Current velocity, vertical [cm/s] (Cur vel W) * PI: Bailly du Bois, Pascal (https://orcid.org/0000-0001-8436-0772, pascal.bailly-du-bois@irsn.fr) * METHOD/DEVICE: SonTek Acoustic Doppler Profiler (ADP)
	Current direction [deg] (DIR) * PI: Bailly du Bois, Pascal (https://orcid.org/0000-0001-8436-0772, pascal.bailly-du-bois@irsn.fr) * METHOD/DEVICE: SonTek Acoustic Doppler Profiler (ADP)
License:	Creative Commons Attribution-NonCommercial 3.0 Unported (CC-BY-NC-3.0)
Size:	8782 data points
*/
Date/Time	Cur vel W [cm/s]	DIR [deg]
2003-08-10T15:05:15	44.57	46.80
2003-08-10T15:05:30	9.10	198.63
2003-08-10T15:05:45	43.44	199.37
2003-08-10T15:06:00	39.46	192.81
2003-08-10T15:06:15	43.09	90.31
2003-08-10T15:06:30	42.44	92.59
2003-08-10T15:06:45	43.04	88.20
2003-08-10T15:07:00	43.50	90.40
2003-08-10T15:07:15	42.31	90.54
2003-08-10T15:07:30	40.03	86.28
2003-08-10T15:07:45	38.27	88.36
2003-08-10T15:08:00	40.99	83.19
2003-08-10T15:08:15	40.82	85.40
2003-08-10T15:08:30	40.97	82.48
2003-08-10T15:08:45	43.63	86.38
2003-08-10T15:09:00	42.36	89.10
2003-08-10T15:09:15	42.60	86.22
2003-08-10T15:09:30	44.62	85.08
2003-08-10T15:09:45	43.35	85.60
2003-08-10T15:10:00	42.30	83.04
2003-08-10T15:10:15	43.24	83.18
2003-08-10T15:10:30	41.01	80.72
2003-08-10T15:10:45	44.64	77.66
2003-08-10T15:11:00	47.64	81.79
2003-08-10T15:11:15	44.38	80.83
2003-08-10T15:11:30	40.87	82.27
2003-08-10T15:11:45	43.40	84.17
2003-08-10T15:12:00	44.96	81.67
2003-08-10T15:12:15	47.43	81.47
2003-08-10T15:12:30	46.51	81.34
2003-08-10T15:12:45	41.68	82.34
2003-08-10T15:13:00	44.69	79.52
2003-08-10T15:13:15	43.64	75.16
2003-08-10T15:13:30	41.91	74.38
2003-08-10T15:13:45	45.45	77.84
2003-08-10T15:14:00	43.71	77.72
2003-08-10T15:14:15	46.66	80.60
2003-08-10T15:14:30	45.40	77.77
2003-08-10T15:14:45	42.70	76.38
2003-08-10T15:15:01	41.44	72.84
2003-08-10T15:15:15	42.44	72.08
2003-08-10T15:15:31	45.64	72.15
2003-08-10T15:15:45	41.50	73.08
2003-08-10T15:16:01	45.04	75.45
2003-08-10T15:16:15	44.41	73.05
2003-08-10T15:16:30	44.57	71.08
2003-08-10T15:16:45	42.84	70.79
2003-08-10T15:17:01	42.43	70.38
2003-08-10T15:17:15	42.51	70.47
2003-08-10T15:17:31	47.64	68.20
2003-08-10T15:17:45	48.26	69.62
2003-08-10T15:18:01	43.76	69.80
2003-08-10T15:18:15	45.50	66.53
2003-08-10T15:18:31	46.77	69.19
2003-08-10T15:18:45	46.41	69.47
2003-08-10T15:19:01	45.61	72.44
2003-08-10T15:19:15	41.92	69.12
2003-08-10T15:19:31	45.55	67.07
2003-08-10T15:19:45	45.46	70.62
2003-08-10T15:20:01	43.53	72.50
2003-08-10T15:20:15	45.71	69.41
2003-08-10T15:20:31	46.61	69.62
2003-08-10T15:20:45	44.43	69.04
2003-08-10T15:21:01	47.05	66.32
2003-08-10T15:21:15	47.93	66.63
2003-08-10T15:21:31	47.30	67.48
2003-08-10T15:21:45	47.32	67.49
2003-08-10T15:22:01	46.44	64.39
2003-08-10T15:22:15	49.71	67.56
2003-08-10T15:22:31	50.29	68.60
2003-08-10T15:22:45	46.29	69.31
2003-08-10T15:23:01	47.26	63.67
2003-08-10T15:23:15	47.92	63.93
2003-08-10T15:23:31	47.63	68.07
2003-08-10T15:23:45	43.95	65.37
2003-08-10T15:24:01	42.24	63.61
2003-08-10T15:24:15	45.64	61.62
2003-08-10T15:24:31	49.69	62.43
2003-08-10T15:24:45	44.65	64.29
2003-08-10T15:25:01	45.53	65.06
2003-08-10T15:25:15	45.71	60.96
2003-08-10T15:25:31	46.65	60.53
2003-08-10T15:25:45	42.41	56.95
2003-08-10T15:26:01	45.65	58.93
2003-08-10T15:26:15	45.75	60.20
2003-08-10T15:26:31	48.77	59.92
2003-08-10T15:26:45	47.81	58.46
2003-08-10T15:27:01	48.56	59.61
2003-08-10T15:27:15	47.05	58.81
2003-08-10T15:27:31	47.22	57.02
2003-08-10T15:27:45	51.87	59.14
2003-08-10T15:28:01	48.90	58.64
2003-08-10T15:28:15	45.83	60.72
2003-08-10T15:28:31	48.07	60.34
2003-08-10T15:28:45	50.92	59.82
2003-08-10T15:29:01	50.70	57.18
2003-08-10T15:29:15	47.96	57.40
2003-08-10T15:29:31	48.67	57.82
2003-08-10T15:29:45	49.89	55.87
2003-08-10T15:30:01	49.32	56.98
2003-08-10T15:30:15	50.54	56.94
2003-08-10T15:30:30	47.39	53.89
2003-08-10T15:30:45	48.80	56.80
2003-08-10T15:31:01	50.00	55.49
2003-08-10T15:31:15	50.86	54.41
2003-08-10T15:31:30	51.05	53.97
2003-08-10T15:31:45	51.87	52.83
2003-08-10T15:32:00	52.64	52.88
2003-08-10T15:32:15	49.73	53.97
2003-08-10T15:32:30	51.89	57.47
2003-08-10T15:32:45	52.17	55.41
2003-08-10T15:33:00	48.56	53.80
2003-08-10T15:33:15	49.60	53.09
2003-08-10T15:33:30	50.25	50.53
2003-08-10T15:33:45	51.67	52.89
2003-08-10T15:34:00	53.63	55.95
2003-08-10T15:34:15	52.15	54.25
2003-08-10T15:34:30	52.11	52.01
2003-08-10T15:34:45	54.21	55.13
2003-08-10T15:35:00	53.14	54.62
2003-08-10T15:35:15	51.53	54.21
2003-08-10T15:35:30	51.42	50.68
2003-08-10T15:35:45	54.49	52.48
2003-08-10T15:36:00	54.41	53.00
2003-08-10T15:36:15	51.04	52.80
2003-08-10T15:36:30	51.59	50.34
2003-08-10T15:36:45	52.39	51.45
2003-08-10T15:37:00	53.30	51.20
2003-08-10T15:37:15	49.27	50.78
2003-08-10T15:37:30	51.91	50.52
2003-08-10T15:37:45	55.77	50.04
2003-08-10T15:38:00	53.74	53.60
2003-08-10T15:38:15	54.60	48.73
2003-08-10T15:38:30	54.47	49.85
2003-08-10T15:38:45	56.05	50.93
2003-08-10T15:39:00	52.54	50.48
2003-08-10T15:39:15	52.56	46.56
2003-08-10T15:39:30	53.22	46.60
2003-08-10T15:39:45	54.03	51.24
2003-08-10T15:40:00	52.24	49.12
2003-08-10T15:40:15	52.49	48.78
2003-08-10T15:40:30	56.69	48.06
2003-08-10T15:40:45	57.54	48.86
2003-08-10T15:41:00	55.81	49.41
2003-08-10T15:41:15	56.26	47.70
2003-08-10T15:41:30	60.01	47.63
2003-08-10T15:41:45	58.73	48.15
2003-08-10T15:42:00	58.05	48.09
2003-08-10T15:42:15	59.01	49.20
2003-08-10T15:42:30	57.84	47.61
2003-08-10T15:42:45	57.69	49.23
2003-08-10T15:43:00	58.51	49.14
2003-08-10T15:43:15	60.80	47.01
2003-08-10T15:43:30	57.94	45.87
2003-08-10T15:43:45	61.02	45.95
2003-08-10T15:44:00	58.95	48.16
2003-08-10T15:44:15	58.26	46.47
2003-08-10T15:44:30	58.37	46.49
2003-08-10T15:44:45	56.80	43.77
2003-08-10T15:45:00	57.36	44.48
2003-08-10T15:45:15	59.91	45.78
2003-08-10T15:45:30	58.12	43.34
2003-08-10T15:45:45	55.66	43.07
2003-08-10T15:46:00	59.41	44.77
2003-08-10T15:46:15	57.65	45.72
2003-08-10T15:46:30	55.77	43.94
2003-08-10T15:46:45	58.16	41.72
2003-08-10T15:47:00	60.72	43.95
2003-08-10T15:47:15	61.34	45.13
2003-08-10T15:47:30	60.86	44.55
2003-08-10T15:47:45	55.14	40.50
2003-08-10T15:48:00	58.91	39.11
2003-08-10T15:48:15	59.91	42.16
2003-08-10T15:48:30	58.27	41.12
2003-08-10T15:48:45	61.03	43.78
2003-08-10T15:49:00	62.02	40.68
2003-08-10T15:49:15	61.24	42.57
2003-08-10T15:49:30	62.86	42.00
2003-08-10T15:49:45	61.34	40.56
2003-08-10T15:50:00	62.60	43.04
