/* DATA DESCRIPTION:
Citation:	Bailly du Bois, Pascal; Dumas, F; Solier, L; Voiseux, C (2011): Current measurements with ADCP 20050411_Flamanville. PANGAEA, https://doi.org/10.1594/PANGAEA.762380, 
	In supplement to: Bailly du Bois, P et al. (2012): In-situ database toolbox for short-term dispersion model validation in macro-tidal seas, application for 2D-model. Continental Shelf Research, 36, 63-82, https://doi.org/10.1016/j.csr.2012.01.011
Coverage:	LATITUDE: 49.562690 * LONGITUDE: -1.945470
	DATE/TIME START: 2005-04-11T18:39:07 * DATE/TIME END: 2005-04-12T16:06:37
	MINIMUM ELEVATION: -20.1 m * MAXIMUM ELEVATION: -20.1 m
Event(s):	20050411_Flamanville (10) * LATITUDE: 49.562690 * LONGITUDE: -1.945470 * DATE/TIME START: 2005-04-11T18:39:07 * DATE/TIME END: 2005-04-12T16:06:37 * ELEVATION: -20.1 m * LOCATION: Flamanville * CAMPAIGN: DISPRO2005 (Dsp05, Dispro2005) (URI: https://doi.org/10.17600/5480020) * BASIS: Côtes de la Manche * METHOD/DEVICE: Acoustic Doppler Current Profiler (ADCP) * COMMENT: location: bottom
Comment:	Current measurements were acquired from several stations around the Cap de la Hague over periods of 14-25 hours, using a SONTEK ADP profiler with a frequency of 1 000 kHz placed on the seabed. Current profiles were collected every 15 s, with vertical resolution of 2 m. files contains average speeds from surface to bottom.
Parameter(s):	DATE/TIME (Date/Time) * GEOCODE
	Current velocity, vertical [cm/s] (Cur vel W) * PI: Bailly du Bois, Pascal (https://orcid.org/0000-0001-8436-0772, pascal.bailly-du-bois@irsn.fr) * METHOD/DEVICE: SonTek Acoustic Doppler Profiler (ADP)
	Current direction [deg] (DIR) * PI: Bailly du Bois, Pascal (https://orcid.org/0000-0001-8436-0772, pascal.bailly-du-bois@irsn.fr) * METHOD/DEVICE: SonTek Acoustic Doppler Profiler (ADP)
License:	Creative Commons Attribution-NonCommercial 3.0 Unported (CC-BY-NC-3.0)
Size:	5152 data points
*/
Date/Time	Cur vel W [cm/s]	DIR [deg]
2005-04-11T18:39:07	71.61	37.51
2005-04-11T18:39:37	72.56	24.81
2005-04-11T18:40:07	91.13	26.54
2005-04-11T18:40:37	63.98	21.73
2005-04-11T18:41:07	70.54	24.85
2005-04-11T18:41:37	54.09	21.92
2005-04-11T18:42:07	79.05	23.60
2005-04-11T18:42:37	71.69	32.02
2005-04-11T18:43:07	66.68	24.35
2005-04-11T18:43:37	73.45	24.81
2005-04-11T18:44:07	77.15	26.24
2005-04-11T18:44:37	78.78	30.17
2005-04-11T18:45:07	71.91	17.82
2005-04-11T18:45:37	68.35	24.20
2005-04-11T18:46:07	77.59	18.26
2005-04-11T18:46:37	62.92	24.11
2005-04-11T18:47:07	75.39	34.28
2005-04-11T18:47:37	72.03	24.08
2005-04-11T18:48:07	86.80	28.87
2005-04-11T18:48:37	82.80	34.45
2005-04-11T18:49:07	76.20	23.38
2005-04-11T18:49:37	81.26	25.32
2005-04-11T18:50:07	87.36	22.72
2005-04-11T18:50:37	76.83	22.44
2005-04-11T18:51:07	91.15	22.01
2005-04-11T18:51:37	93.57	36.21
2005-04-11T18:52:07	77.30	36.58
2005-04-11T18:52:37	88.88	36.03
2005-04-11T18:53:07	72.68	23.96
2005-04-11T18:53:37	78.45	28.85
2005-04-11T18:54:07	85.88	22.50
2005-04-11T18:54:37	71.02	34.04
2005-04-11T18:55:07	87.80	34.47
2005-04-11T18:55:37	105.04	29.10
2005-04-11T18:56:07	95.89	27.83
2005-04-11T18:56:37	89.67	24.98
2005-04-11T18:57:07	86.26	19.34
2005-04-11T18:57:37	84.76	18.37
2005-04-11T18:58:07	86.63	20.92
2005-04-11T18:58:37	93.44	26.55
2005-04-11T18:59:07	78.30	33.15
2005-04-11T18:59:37	87.08	21.31
2005-04-11T19:00:07	74.06	31.56
2005-04-11T19:00:37	93.16	20.59
2005-04-11T19:01:07	98.46	17.18
2005-04-11T19:01:37	74.72	22.12
2005-04-11T19:02:07	103.20	14.57
2005-04-11T19:02:37	94.48	18.58
2005-04-11T19:03:07	104.24	26.09
2005-04-11T19:03:37	90.29	25.34
2005-04-11T19:04:07	93.67	25.91
2005-04-11T19:04:37	92.66	18.52
2005-04-11T19:05:07	80.90	28.41
2005-04-11T19:05:37	118.82	13.04
2005-04-11T19:06:07	107.05	20.73
2005-04-11T19:06:37	109.24	26.37
2005-04-11T19:07:07	88.24	20.12
2005-04-11T19:07:37	105.25	16.67
2005-04-11T19:08:07	93.18	17.36
