/* DATA DESCRIPTION:
Citation:	Bailly du Bois, Pascal; Dumas, F; Solier, L; Voiseux, C (2011): Current measurements with ADCP 20050412_Omonville. PANGAEA, https://doi.org/10.1594/PANGAEA.762381, 
	In supplement to: Bailly du Bois, P et al. (2012): In-situ database toolbox for short-term dispersion model validation in macro-tidal seas, application for 2D-model. Continental Shelf Research, 36, 63-82, https://doi.org/10.1016/j.csr.2012.01.011
Coverage:	LATITUDE: 49.705270 * LONGITUDE: -1.713840
	DATE/TIME START: 2005-04-12T18:37:36 * DATE/TIME END: 2005-04-13T12:38:06
	MINIMUM ELEVATION: -19.5 m * MAXIMUM ELEVATION: -19.5 m
Event(s):	20050412_Omonville (11) * LATITUDE: 49.705270 * LONGITUDE: -1.713840 * DATE/TIME START: 2005-04-12T18:37:36 * DATE/TIME END: 2005-04-13T12:38:06 * ELEVATION: -19.5 m * LOCATION: Omonville * CAMPAIGN: DISPRO2005 (Dsp05, Dispro2005) (URI: https://doi.org/10.17600/5480020) * BASIS: Côtes de la Manche * METHOD/DEVICE: Acoustic Doppler Current Profiler (ADCP) * COMMENT: location: bottom
Comment:	Current measurements were acquired from several stations around the Cap de la Hague over periods of 14-25 hours, using a SONTEK ADP profiler with a frequency of 1 000 kHz placed on the seabed. Current profiles were collected every 15 s, with vertical resolution of 2 m. files contains average speeds from surface to bottom.
Parameter(s):	DATE/TIME (Date/Time) * GEOCODE
	Current velocity, vertical [cm/s] (Cur vel W) * PI: Bailly du Bois, Pascal (https://orcid.org/0000-0001-8436-0772, pascal.bailly-du-bois@irsn.fr) * METHOD/DEVICE: SonTek Acoustic Doppler Profiler (ADP)
	Current direction [deg] (DIR) * PI: Bailly du Bois, Pascal (https://orcid.org/0000-0001-8436-0772, pascal.bailly-du-bois@irsn.fr) * METHOD/DEVICE: SonTek Acoustic Doppler Profiler (ADP)
License:	Creative Commons Attribution-NonCommercial 3.0 Unported (CC-BY-NC-3.0)
Size:	4324 data points
*/
Date/Time	Cur vel W [cm/s]	DIR [deg]
2005-04-12T18:37:36	48.63	82.19
2005-04-12T18:38:06	30.94	76.10
2005-04-12T18:38:36	25.08	81.03
2005-04-12T18:39:06	45.99	90.92
2005-04-12T18:39:36	49.25	70.03
2005-04-12T18:40:06	17.88	127.88
2005-04-12T18:40:36	38.38	121.71
2005-04-12T18:41:06	24.10	124.38
2005-04-12T18:41:36	58.28	101.13
2005-04-12T18:42:06	10.78	88.83
2005-04-12T18:42:36	59.87	75.76
2005-04-12T18:43:06	34.52	142.81
2005-04-12T18:43:36	44.54	59.46
2005-04-12T18:44:06	39.48	111.38
2005-04-12T18:44:36	56.04	86.28
2005-04-12T18:45:06	18.03	114.59
2005-04-12T18:45:36	63.43	89.87
2005-04-12T18:46:06	54.56	99.25
2005-04-12T18:46:36	41.02	111.71
2005-04-12T18:47:06	38.85	79.69
2005-04-12T18:47:36	39.87	85.21
2005-04-12T18:48:06	68.48	95.82
2005-04-12T18:48:36	15.09	91.45
2005-04-12T18:49:06	74.05	97.98
2005-04-12T18:49:36	80.94	106.74
2005-04-12T18:50:06	78.33	102.50
2005-04-12T18:50:36	41.03	75.28
2005-04-12T18:51:06	67.93	86.39
2005-04-12T18:51:36	65.81	94.40
2005-04-12T18:52:06	59.60	90.28
2005-04-12T18:52:36	48.23	107.76
2005-04-12T18:53:06	45.53	113.59
2005-04-12T18:53:36	78.56	111.47
2005-04-12T18:54:06	98.03	87.85
2005-04-12T18:54:36	52.75	98.23
2005-04-12T18:55:06	67.59	110.04
2005-04-12T18:55:36	57.44	100.74
2005-04-12T18:56:06	55.94	88.18
2005-04-12T18:56:36	73.83	91.05
2005-04-12T18:57:06	88.10	93.83
2005-04-12T18:57:36	74.18	108.59
2005-04-12T18:58:06	72.24	95.50
2005-04-12T18:58:36	72.26	67.33
2005-04-12T18:59:06	78.24	91.52
2005-04-12T18:59:36	83.48	91.22
2005-04-12T19:00:06	69.84	94.72
2005-04-12T19:00:36	81.15	93.36
2005-04-12T19:01:06	79.48	91.46
